height;period;impact;power;direction;directionMin;total_timestamp;datetime_utc
0.0;0;0.0;0.0;0.0;0.0;1652853600;2022-05-18 06:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652857200;2022-05-18 07:00:00+00:00
0.0961;7;0.0539;0.05377;63.71637;58.97983;1652857200;2022-05-18 07:00:00+00:00
1.41577;5;0.0;0.0;298.58875;283.73102;1652857200;2022-05-18 07:00:00+00:00
0.59092;10;0.4489;33.60666;132.85486;127.201565;1652857200;2022-05-18 07:00:00+00:00
0.89033;10;0.4566;70.86446;188.58905;181.406285;1652857200;2022-05-18 07:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652857200;2022-05-18 07:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652860800;2022-05-18 08:00:00+00:00
0.0961;7;0.0539;0.05377;63.71637;58.97983;1652860800;2022-05-18 08:00:00+00:00
1.41577;5;0.0;0.0;298.58875;283.73102;1652860800;2022-05-18 08:00:00+00:00
0.59092;10;0.4489;33.60666;132.85486;127.201565;1652860800;2022-05-18 08:00:00+00:00
0.89033;10;0.4566;70.86446;188.58905;181.406285;1652860800;2022-05-18 08:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652860800;2022-05-18 08:00:00+00:00
0.35783;13;0.2748;12.48609;152.76135;147.91465499999998;1652864400;2022-05-18 09:00:00+00:00
0.07226;7;0.0333;0.01903;62.31207;57.858405;1652864400;2022-05-18 09:00:00+00:00
1.35449;5;0.0;0.0;300.47266;285.691815;1652864400;2022-05-18 09:00:00+00:00
0.53857;10;0.3408;20.0361;132.0589;126.149025;1652864400;2022-05-18 09:00:00+00:00
0.76423;10;0.3343;37.48345;191.82849;186.24023499999998;1652864400;2022-05-18 09:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652864400;2022-05-18 09:00:00+00:00
0.35783;13;0.2748;12.48609;152.76135;147.91465499999998;1652868000;2022-05-18 10:00:00+00:00
0.07226;7;0.0333;0.01903;62.31207;57.858405;1652868000;2022-05-18 10:00:00+00:00
1.35449;5;0.0;0.0;300.47266;285.691815;1652868000;2022-05-18 10:00:00+00:00
0.53857;10;0.3408;20.0361;132.0589;126.149025;1652868000;2022-05-18 10:00:00+00:00
0.76423;10;0.3343;37.48345;191.82849;186.24023499999998;1652868000;2022-05-18 10:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652868000;2022-05-18 10:00:00+00:00
0.35783;13;0.2748;12.48609;152.76135;147.91465499999998;1652871600;2022-05-18 11:00:00+00:00
0.07226;7;0.0333;0.01903;62.31207;57.858405;1652871600;2022-05-18 11:00:00+00:00
1.35449;5;0.0;0.0;300.47266;285.691815;1652871600;2022-05-18 11:00:00+00:00
0.53857;10;0.3408;20.0361;132.0589;126.149025;1652871600;2022-05-18 11:00:00+00:00
0.76423;10;0.3343;37.48345;191.82849;186.24023499999998;1652871600;2022-05-18 11:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652871600;2022-05-18 11:00:00+00:00
0.74376;13;0.4109;80.97305;159.599;153.89319999999998;1652875200;2022-05-18 12:00:00+00:00
0.4596;6;0.0;0.0;342.84082;336.639165;1652875200;2022-05-18 12:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652875200;2022-05-18 12:00:00+00:00
0.49583;10;0.2665;12.94126;130.47906;124.15944;1652875200;2022-05-18 12:00:00+00:00
0.9116;10;0.3085;53.63436;193.13934;187.14307;1652875200;2022-05-18 12:00:00+00:00
0.91189;5;0.0;0.0;283.57416;268.36888;1652875200;2022-05-18 12:00:00+00:00
0.74376;13;0.4109;80.97305;159.599;153.89319999999998;1652878800;2022-05-18 13:00:00+00:00
0.4596;6;0.0;0.0;342.84082;336.639165;1652878800;2022-05-18 13:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652878800;2022-05-18 13:00:00+00:00
0.49583;10;0.2665;12.94126;130.47906;124.15944;1652878800;2022-05-18 13:00:00+00:00
0.9116;10;0.3085;53.63436;193.13934;187.14307;1652878800;2022-05-18 13:00:00+00:00
0.91189;5;0.0;0.0;283.57416;268.36888;1652878800;2022-05-18 13:00:00+00:00
0.74376;13;0.4109;80.97305;159.599;153.89319999999998;1652882400;2022-05-18 14:00:00+00:00
0.4596;6;0.0;0.0;342.84082;336.639165;1652882400;2022-05-18 14:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652882400;2022-05-18 14:00:00+00:00
0.49583;10;0.2665;12.94126;130.47906;124.15944;1652882400;2022-05-18 14:00:00+00:00
0.9116;10;0.3085;53.63436;193.13934;187.14307;1652882400;2022-05-18 14:00:00+00:00
0.91189;5;0.0;0.0;283.57416;268.36888;1652882400;2022-05-18 14:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652886000;2022-05-18 15:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652886000;2022-05-18 15:00:00+00:00
0.41396;5;0.0;0.0;323.52783;313.35372;1652886000;2022-05-18 15:00:00+00:00
0.33432;10;0.1552;3.38993;125.01373;119.55555;1652886000;2022-05-18 15:00:00+00:00
3.49262;12;0.8104;2757.20409;184.69067;173.08484;1652886000;2022-05-18 15:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652886000;2022-05-18 15:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652889600;2022-05-18 16:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652889600;2022-05-18 16:00:00+00:00
0.41396;5;0.0;0.0;323.52783;313.35372;1652889600;2022-05-18 16:00:00+00:00
0.33432;10;0.1552;3.38993;125.01373;119.55555;1652889600;2022-05-18 16:00:00+00:00
3.49262;12;0.8104;2757.20409;184.69067;173.08484;1652889600;2022-05-18 16:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652889600;2022-05-18 16:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652893200;2022-05-18 17:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652893200;2022-05-18 17:00:00+00:00
0.41396;5;0.0;0.0;323.52783;313.35372;1652893200;2022-05-18 17:00:00+00:00
0.33432;10;0.1552;3.38993;125.01373;119.55555;1652893200;2022-05-18 17:00:00+00:00
3.49262;12;0.8104;2757.20409;184.69067;173.08484;1652893200;2022-05-18 17:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652893200;2022-05-18 17:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652896800;2022-05-18 18:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652896800;2022-05-18 18:00:00+00:00
0.27224;6;0.0;0.0;329.65234;321.537055;1652896800;2022-05-18 18:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652896800;2022-05-18 18:00:00+00:00
3.2833;11;0.9448;2472.25168;179.16736;167.751955;1652896800;2022-05-18 18:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652896800;2022-05-18 18:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652900400;2022-05-18 19:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652900400;2022-05-18 19:00:00+00:00
0.27224;6;0.0;0.0;329.65234;321.537055;1652900400;2022-05-18 19:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652900400;2022-05-18 19:00:00+00:00
3.2833;11;0.9448;2472.25168;179.16736;167.751955;1652900400;2022-05-18 19:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652900400;2022-05-18 19:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652904000;2022-05-18 20:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652904000;2022-05-18 20:00:00+00:00
0.27224;6;0.0;0.0;329.65234;321.537055;1652904000;2022-05-18 20:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652904000;2022-05-18 20:00:00+00:00
3.2833;11;0.9448;2472.25168;179.16736;167.751955;1652904000;2022-05-18 20:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652904000;2022-05-18 20:00:00+00:00
1.46866;12;0.4737;304.86261;155.57208;148.990335;1652907600;2022-05-18 21:00:00+00:00
0.22321;5;0.0;0.0;322.43433;314.61447499999997;1652907600;2022-05-18 21:00:00+00:00
0.13696;6;0.0;0.0;335.49567;329.578005;1652907600;2022-05-18 21:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652907600;2022-05-18 21:00:00+00:00
2.80001;10;0.5065;741.24612;190.06055;177.66132000000002;1652907600;2022-05-18 21:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652907600;2022-05-18 21:00:00+00:00
1.46866;12;0.4737;304.86261;155.57208;148.990335;1652911200;2022-05-18 22:00:00+00:00
0.22321;5;0.0;0.0;322.43433;314.61447499999997;1652911200;2022-05-18 22:00:00+00:00
0.13696;6;0.0;0.0;335.49567;329.578005;1652911200;2022-05-18 22:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652911200;2022-05-18 22:00:00+00:00
2.80001;10;0.5065;741.24612;190.06055;177.66132000000002;1652911200;2022-05-18 22:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652911200;2022-05-18 22:00:00+00:00
1.46866;12;0.4737;304.86261;155.57208;148.990335;1652914800;2022-05-18 23:00:00+00:00
0.22321;5;0.0;0.0;322.43433;314.61447499999997;1652914800;2022-05-18 23:00:00+00:00
0.13696;6;0.0;0.0;335.49567;329.578005;1652914800;2022-05-18 23:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652914800;2022-05-18 23:00:00+00:00
2.80001;10;0.5065;741.24612;190.06055;177.66132000000002;1652914800;2022-05-18 23:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652914800;2022-05-18 23:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652918400;2022-05-19 00:00:00+00:00
0.19738;5;0.0;0.0;328.77856;322.4017;1652918400;2022-05-19 00:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652918400;2022-05-19 00:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652918400;2022-05-19 00:00:00+00:00
2.97202;12;0.9432;2343.14588;181.9375;167.677385;1652918400;2022-05-19 00:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652918400;2022-05-19 00:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652922000;2022-05-19 01:00:00+00:00
0.19738;5;0.0;0.0;328.77856;322.4017;1652922000;2022-05-19 01:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652922000;2022-05-19 01:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652922000;2022-05-19 01:00:00+00:00
2.97202;12;0.9432;2343.14588;181.9375;167.677385;1652922000;2022-05-19 01:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652922000;2022-05-19 01:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652925600;2022-05-19 02:00:00+00:00
0.19738;5;0.0;0.0;328.77856;322.4017;1652925600;2022-05-19 02:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652925600;2022-05-19 02:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652925600;2022-05-19 02:00:00+00:00
2.97202;12;0.9432;2343.14588;181.9375;167.677385;1652925600;2022-05-19 02:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652925600;2022-05-19 02:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652929200;2022-05-19 03:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652929200;2022-05-19 03:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652929200;2022-05-19 03:00:00+00:00
